feature,gain,weight,perm_ap_drop
time_since_max_30,1.8459950685501099,550.0,0.00041548714140333953
pct_from_min_720,2.93816876411438,1829.0,0.00041310340831763465
shadow_balance,1.4661734104156494,1344.0,0.00040803681049275675
hh_cnt_30,2.7805614471435547,669.0,0.00040187502825458216
run_up_len,2.1389777660369873,186.0,0.00039523788497469736
rev_speed_down_120,1.933632493019104,1154.0,0.00038235328079397335
pct_from_max_15,3.281177282333374,853.0,0.0003537097163439848
pct_from_min_240,2.836873769760132,1405.0,0.00032024194913340964
wick_lower_mean_15,1.7819794416427612,1551.0,0.00030998428146884055
time_since_max_720,2.915889024734497,3601.0,0.00030636577108830026
log_volume_ema,3.5863327980041504,3578.0,0.00022910585901664976
slope_diff_3_10,1.917892575263977,1163.0,0.0002179490393754771
bars_below_ema_10,1.8463729619979858,308.0,0.00017136624962760943
slope_reserr_pct_4320,3.5827620029449463,5337.0,0.00015558814030217083
bars_above_ema_10,2.23270845413208,399.0,0.00015135474305094654
keltner_halfwidth_pct_30,64.14257049560547,121.0,0.00013224036600816003
atr_pct_5760,3.2680060863494873,4326.0,3.1218406467282966e-05
break_high_30,2.5705807209014893,18.0,9.56600069782626e-06
shadow_balance_raw,2.626279592514038,936.0,9.476534396347935e-06
cycle_time_in_trade,0.0,0.0,0.0
cycle_is_add,0.0,0.0,0.0
cycle_num_adds,0.0,0.0,0.0
cycle_avg_entry_price,3.2973201274871826,5567.0,0.0
cycle_dd_pct,0.0,0.0,0.0
cycle_last_fill_price,3.732783794403076,406.0,0.0
wick_lower_streak,1.737463116645813,19.0,-1.2782170450420516e-06
break_low_30,2.7723820209503174,5.0,-2.042280224288928e-06
run_dn_cnt_30,2.2499279975891113,681.0,-2.1916730242044213e-06
run_dn_len,1.4463993310928345,120.0,-8.700613521955836e-06
break_high_60,3.1752448081970215,14.0,-1.0386005687840205e-05
run_dn_cnt_60,2.6430187225341797,1195.0,-2.282641464398938e-05
time_since_max_240,2.4136202335357666,2131.0,-3.36514454096562e-05
keltner_center_pct_240,4.467594146728516,998.0,-4.00673902097165e-05
time_since_min_240,2.6065304279327393,2439.0,-7.584610592994284e-05
break_low_60,1.224737524986267,5.0,-7.741462593733456e-05
wick_lower_mean_5,1.5256036520004272,1012.0,-0.00010662800884016915
bars_since_cross_10,1.6323270797729492,426.0,-0.00011263366371455641
bars_since_blow_30,2.4361963272094727,1931.0,-0.0001628076484330443
time_since_max_15,1.5646699666976929,369.0,-0.00019944044976959174
slope_pct_30,2.2298200130462646,898.0,-0.0002320849179429027
